treatment,threshold,round,player,decision,score,timeup,time,room,date,num_players,group,choice
upwards,0.3333333333333333,20.0,170568555017336,0.0,-2.0,0.0,4413.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,20.0,459561341680218,1.0,-9.0,0.0,872.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,20.0,281376263239737,0.0,-5.0,0.0,16268.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,20.0,745921659422642,1.0,-8.0,0.0,2580.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,20.0,699740974271588,1.0,-7.0,0.0,3004.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,20.0,642065798157831,0.0,-7.0,0.0,8780.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,20.0,517686775656690,0.0,-5.0,0.0,1029.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,20.0,327999402308732,1.0,-7.0,0.0,1072.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,20.0,199607391338980,1.0,-4.0,0.0,1991.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,21.0,170568555017336,0.0,-2.0,0.0,2785.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,21.0,459561341680218,1.0,-10.0,0.0,1891.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,21.0,281376263239737,0.0,-5.0,0.0,1328.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,21.0,745921659422642,0.0,-8.0,0.0,3840.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,21.0,699740974271588,1.0,-8.0,0.0,857.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,21.0,642065798157831,1.0,-8.0,0.0,2714.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,21.0,517686775656690,0.0,-5.0,0.0,1114.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,21.0,327999402308732,0.0,-7.0,0.0,10100.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,21.0,199607391338980,1.0,-5.0,0.0,1555.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,22.0,170568555017336,0.0,-2.0,0.0,1217.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,22.0,459561341680218,1.0,-11.0,0.0,1088.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,22.0,281376263239737,0.0,-5.0,0.0,1370.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,22.0,745921659422642,1.0,-9.0,0.0,3187.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,22.0,699740974271588,1.0,-9.0,0.0,9837.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,22.0,642065798157831,1.0,-9.0,1.0,30003.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,22.0,517686775656690,1.0,-6.0,0.0,827.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,22.0,327999402308732,0.0,-7.0,0.0,1074.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,22.0,199607391338980,1.0,-6.0,0.0,1525.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,23.0,170568555017336,0.0,-2.0,0.0,1639.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,23.0,459561341680218,1.0,-12.0,0.0,1725.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,23.0,281376263239737,0.0,-5.0,0.0,1679.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,23.0,745921659422642,0.0,-9.0,0.0,1485.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,23.0,699740974271588,1.0,-10.0,0.0,1626.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,23.0,642065798157831,1.0,-10.0,0.0,3075.0,38,12-13-2023,9,38,1.0
